nuclide,"(n,gamma)","(n,2n)","(n,p)","(n,a)","(n,3n)","(n,4n)",fission
Cd114,0.4369595333801184,0.00035114971616127875,3.697657545642607e-07,4.762047841862047e-08,5.082274065458871e-07,0.0,0.0
Cd115_m1,0.7047084276762368,0.0025459214621103717,6.941497500980448e-07,3.6848190435430785e-07,5.839699927879227e-07,0.0,0.0
Cd116,0.07800946377885713,0.0005257351657706722,1.4034753717086308e-07,1.2178190476938513e-08,1.075053844532648e-06,0.0,0.0
In113,10.100448722960392,0.0002644021342666245,1.632464847967012e-05,1.3611970035617828e-06,1.464087070259018e-07,0.0,0.0
In115,102.54779030037132,0.00035817792988300235,2.86650119108351e-06,5.322815816192541e-07,4.6443262570942194e-07,0.0,0.0
Sn112,1.0143413190382908,0.00010463672146805188,6.412560147377644e-05,4.7754040158284654e-05,1.690047101593494e-09,0.0,0.0
Sn113,6.817578288599348,0.0004813164534597163,0.00037173004837031965,0.0003846199567404077,1.3686860762579566e-09,0.0,0.0
Sn114,0.3014167855117243,0.00014473644914826932,1.603650033158068e-05,6.381830202807137e-06,3.570202604501576e-08,0.0,0.0
Sn115,4.885616304171817,0.001217810532206575,1.7699478618337797e-05,1.0155448804133226e-05,4.506275734564723e-08,0.0,0.0
Sn116,0.4153717131512133,0.00027822137302292986,3.3693255193419074e-06,1.0060885628957147e-06,1.7078622735945252e-07,0.0,0.0
Sn117,0.633583837661246,0.002574655448449578,3.322979155267467e-06,1.280341936362948e-06,3.034185311223474e-07,0.0,0.0
Sn118,0.15652485050640033,0.00033743154400789284,7.38327485821531e-07,8.947326226496094e-08,4.4102186146087575e-07,0.0,0.0
Sn119,0.35835430685730496,0.0039156268051151475,6.829836384873367e-07,2.0044944911433305e-07,6.721190116469726e-07,0.0,0.0
Sn120,0.05568503491479811,0.00048551567444795994,3.283096071533227e-07,3.143277942576976e-08,9.436216816366659e-07,0.0,0.0
Sn122,0.035513971830803126,0.0006631059017162701,6.829837536242204e-08,6.9750234107211115e-09,1.642068670389369e-06,0.0,0.0
